configuracao,nuvem,fase,metodo,multiplicador,item_custo,usd_mes_1,usd_36m
C3,ibm,2,iso-sla,2.0000,bloco,7198.4734,340314.8049
C3,ibm,2,iso-sla,2.0000,objeto,607.3774,38432.3790
C3,ibm,2,iso-sla,2.0000,egress,1108.6817,39912.5422
C3,ibm,2,iso-sla,2.0000,licencas,0.0000,0.0000
C3,ibm,2,iso-sla,2.0000,premio-gerenciado,2300.9497,82834.1885
C3,ibm,2,iso-sla,2.0000,backup,60.7377,2186.5587
C3,ibm,2,iso-sla,2.0000,suporte,0.0000,0.0000
C3,ibm,2,iso-sla,2.0000,rede-ip-balanceador,41.6939,1500.9800
C3,ibm,2,iso-sla,2.0000,observabilidade,0.0000,0.0000
C3,ibm,2,iso-sla,2.0000,ia,25.4400,915.8400
C4,aws,2,iso-sla,2.5000,compute,7581.0016,272916.0583
C4,aws,2,iso-sla,2.5000,bloco,2613.6600,123563.3097
C4,aws,2,iso-sla,2.5000,objeto,829.4400,52483.5992
C4,aws,2,iso-sla,2.5000,egress,921.6000,33177.6000
C4,aws,2,iso-sla,2.5000,licencas,0.0000,0.0000
C4,aws,2,iso-sla,2.5000,premio-gerenciado,5690.2040,204847.3440
C4,aws,2,iso-sla,2.5000,backup,0.0000,0.0000
C4,aws,2,iso-sla,2.5000,suporte,0.0000,0.0000
C4,aws,2,iso-sla,2.5000,rede-ip-balanceador,32.8500,1182.6000
C4,aws,2,iso-sla,2.5000,observabilidade,0.0000,0.0000
C4,aws,2,iso-sla,2.5000,ia,29.0000,1044.0000
C3,ibm,2,iso-sla,2.5000,compute,7480.6422,269303.1193
C3,ibm,2,iso-sla,2.5000,bloco,7198.4734,340314.8049
C3,ibm,2,iso-sla,2.5000,objeto,607.3774,38432.3790
C3,ibm,2,iso-sla,2.5000,egress,1108.6817,39912.5422
C3,ibm,2,iso-sla,2.5000,licencas,0.0000,0.0000
C3,ibm,2,iso-sla,2.5000,premio-gerenciado,3005.4525,108196.2893
C3,ibm,2,iso-sla,2.5000,backup,60.7377,2186.5587
C3,ibm,2,iso-sla,2.5000,suporte,0.0000,0.0000
C3,ibm,2,iso-sla,2.5000,rede-ip-balanceador,41.6939,1500.9800
C3,ibm,2,iso-sla,2.5000,observabilidade,0.0000,0.0000
C3,ibm,2,iso-sla,2.5000,ia,25.4400,915.8400
C4,aws,2,iso-sla,3.0000,compute,7581.0016,272916.0583
C4,aws,2,iso-sla,3.0000,bloco,2613.6600,123563.3097
C4,aws,2,iso-sla,3.0000,objeto,829.4400,52483.5992
C4,aws,2,iso-sla,3.0000,egress,921.6000,33177.6000
C4,aws,2,iso-sla,3.0000,licencas,0.0000,0.0000
C4,aws,2,iso-sla,3.0000,premio-gerenciado,5690.2040,204847.3440
C4,aws,2,iso-sla,3.0000,backup,0.0000,0.0000
C4,aws,2,iso-sla,3.0000,suporte,0.0000,0.0000
C4,aws,2,iso-sla,3.0000,rede-ip-balanceador,32.8500,1182.6000
C4,aws,2,iso-sla,3.0000,observabilidade,0.0000,0.0000
C4,aws,2,iso-sla,3.0000,ia,29.0000,1044.0000
C3,ibm,2,iso-sla,3.0000,compute,7480.6422,269303.1193
C3,ibm,2,iso-sla,3.0000,bloco,7198.4734,340314.8049
C3,ibm,2,iso-sla,3.0000,objeto,607.3774,38432.3790
C3,ibm,2,iso-sla,3.0000,egress,1108.6817,39912.5422
C3,ibm,2,iso-sla,3.0000,licencas,0.0000,0.0000
C3,ibm,2,iso-sla,3.0000,premio-gerenciado,3005.4525,108196.2893
C3,ibm,2,iso-sla,3.0000,backup,60.7377,2186.5587
C3,ibm,2,iso-sla,3.0000,suporte,0.0000,0.0000
C3,ibm,2,iso-sla,3.0000,rede-ip-balanceador,41.6939,1500.9800
C3,ibm,2,iso-sla,3.0000,observabilidade,0.0000,0.0000
C3,ibm,2,iso-sla,3.0000,ia,25.4400,915.8400
